batch_size,config_name,dataset,epochs,experiment_name,input_mode,kind,loss_mode,max_events,model,model_family,phase,psd_path,purpose,resolved_config,rq_path,run_id,trace_path
,,"Synthetic two-channel Brownian-noise pulse dataset generated inside src/NFPA/nfpa_demo.py: C=2, T=256, N_train=800, N_test=300.",,nfpa_demo,prewhitened,subprocess,chi2_als,,"NFPA, EMPCA, raw-MSE factored AE, raw PCA",nfpa_numpy,nfpa,,"Current Paper 2 proof-of-concept: metric reversal, restricted Kronecker bridge, rank-one NFPA to OF check.",,,nfpa_demo,
16,ae_raw_mse,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,ae_raw_mse_l40s_run01,raw,paper2_config,mse,2048,small convolutional reconstruction AE,ae,ae_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Nonlinear AE baseline with raw input and misspecified isotropic MSE.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/ae_raw_mse.yaml,data/k_alpha/k_alpha_rqs.h5,ae_raw_mse,data/k_alpha/k_alpha_traces.h5
16,ae_raw_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,ae_raw_mahalanobis_l40s_run01,raw,paper2_config,mahalanobis,2048,small convolutional reconstruction AE,ae,ae_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,"Separates loss geometry from input whitening: raw input, Mahalanobis loss.",/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/ae_raw_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,ae_raw_mahalanobis,data/k_alpha/k_alpha_traces.h5
16,ae_prewhite_mse,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,ae_prewhite_mse_l40s_run01,prewhitened,paper2_config,mse,2048,small convolutional reconstruction AE,ae,ae_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Tests whether prewhitened encoder input alone changes the learned solution.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/ae_prewhite_mse.yaml,data/k_alpha/k_alpha_rqs.h5,ae_prewhite_mse,data/k_alpha/k_alpha_traces.h5
16,ae_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,ae_prewhite_mahalanobis_l40s_run01,prewhitened,paper2_config,mahalanobis,2048,small convolutional reconstruction AE,ae,ae_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Geometry-first AE reference: prewhitened encoder input and Mahalanobis loss.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/ae_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,ae_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5
8,transformer_raw_mse,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,transformer_raw_mse_l40s_run01,raw,paper2_config,mse,2048,token-preserving transformer reconstruction AE,transformer,transformer_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Wrong metric / raw-token transformer baseline.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/transformer_raw_mse.yaml,data/k_alpha/k_alpha_rqs.h5,transformer_raw_mse,data/k_alpha/k_alpha_traces.h5
8,transformer_raw_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,transformer_raw_mahalanobis_l40s_run01,raw,paper2_config,mahalanobis,2048,token-preserving transformer reconstruction AE,transformer,transformer_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Tests whether Mahalanobis loss helps without prewhitening attention input.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/transformer_raw_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,transformer_raw_mahalanobis,data/k_alpha/k_alpha_traces.h5
8,transformer_prewhite_mse,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,transformer_prewhite_mse_l40s_run01,prewhitened,paper2_config,mse,2048,token-preserving transformer reconstruction AE,transformer,transformer_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Tests attention on prewhitened tokens with isotropic native-output MSE.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/transformer_prewhite_mse.yaml,data/k_alpha/k_alpha_rqs.h5,transformer_prewhite_mse,data/k_alpha/k_alpha_traces.h5
8,transformer_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,80,transformer_prewhite_mahalanobis_l40s_run01,prewhitened,paper2_config,mahalanobis,2048,token-preserving transformer reconstruction AE,transformer,transformer_2x2,data/Noise_PSD/noise_psd_from_MMC.npy,Strongest current transformer config: prewhitened tokens and Mahalanobis loss.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/transformer_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,transformer_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5
32,experiment_d_linear_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,40,experiment_d_linear_prewhite_mahalanobis_l40s_run01,prewhitened,paper2_config,mahalanobis,2048,patch-linear reconstruction AE,linear_ae,architecture,data/Noise_PSD/noise_psd_from_MMC.npy,Fixed geometry architecture-bias baseline.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/experiment_d_linear_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,experiment_d_linear_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5
16,experiment_d_cnn_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,40,experiment_d_cnn_prewhite_mahalanobis_l40s_run01,prewhitened,paper2_config,mahalanobis,2048,small convolutional reconstruction AE,cnn_ae,architecture,data/Noise_PSD/noise_psd_from_MMC.npy,Fixed geometry CNN/locality inductive-bias comparison.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/experiment_d_cnn_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,experiment_d_cnn_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5
8,experiment_d_transformer_prewhite_mahalanobis,HDF5 detector traces from data.trace_path plus optional RQ labels from data.rq_path; PSD from preprocessing.psd_path.,40,experiment_d_transformer_prewhite_mahalanobis_l40s_run01,prewhitened,paper2_config,mahalanobis,2048,token-preserving transformer reconstruction AE,transformer,architecture,data/Noise_PSD/noise_psd_from_MMC.npy,Fixed geometry attention inductive-bias comparison.,/ceph/dwong/noise-weighted-subspace-reconstruction/paper2/results/_suite_runs/20260609_140914/configs/experiment_d_transformer_prewhite_mahalanobis.yaml,data/k_alpha/k_alpha_rqs.h5,experiment_d_transformer_prewhite_mahalanobis,data/k_alpha/k_alpha_traces.h5
