experiment_id,claim,paper_anchor,support_regime,metrics,artifact_path
E1,rank-1 EMPCA ≡ OF amplitude estimator,04_empca / theorem 1,theorem-support,weighted cosine; amplitude correlation; median relative amplitude error; residual KS p-value,results/tables/block_04_e1_rank1_summary.csv
E2,noise-aware linear AE ≡ EMPCA,05_linear_ae / theorem 2,theorem-support,principal-angle cosines for k=1..3; residual mean gap; residual KS p-value,results/tables/block_05_e2_bridge.csv
E3,chi^2(k) decreases monotonically with rank,04_empca / rank-k proposition,theorem-support,held-out weighted residual by k for 1D and multi-D families,results/tables/block_06_e3_monotonicity.csv
E4,CRB variance law,03_optimal_filter / CRB,theorem-support,empirical amplitude variance vs 1 / N_Phi across noise colors,results/tables/block_04_e4_crb.csv
E5,energy-resolution scaling law,03_optimal_filter / resolution,mixed,sigma_E vs noise power slope; simulated residuals; real-data sigma comparison,results/tables/block_04_e5_resolution.csv
E6,noise-aware EMPCA beats isotropic PCA under colored noise,07_experiments / ablation,theorem-support,"weighted residual gain under white, pink, brownian noise",results/tables/block_07_e6_ablation.csv
E7,template mismatch bias and rank-2 recovery,03_optimal_filter / template mismatch,theorem-support,mean amplitude bias; RMSE; bias-vs-cos^2 curve,results/tables/block_07_e7_mismatch.csv
E8,time-shift OF recovers jittered arrivals,03_optimal_filter / shifted OF,theorem-support,arrival-time RMSE; amplitude RMSE; fixed-vs-shift bias,results/tables/block_07_e8_time_shift.csv
E9,EMPCA convergence diagnostics,06_convergence / convergence theorem,theorem-support,chi^2 trace monotonicity; iterations to tolerance; init dependence,results/tables/block_06_e9_convergence.csv
E10,non-stationary noise robustness,06_convergence / stationarity discussion,robustness-support,global-vs-segment PSD RMSE and weighted residual,results/tables/block_09_e10_nonstationary.csv
E11,artifact robustness and refit after flagging,06_convergence / limitations,robustness-support,amplitude RMSE and weighted residual before/after flagging,results/tables/block_09_e11_artifacts.csv
E12,real K-alpha verification,07_experiments / real data verification,real-support,rank-1 cosine; AE bridge cosines; Gaussian amplitude histogram; sigma_A comparison,results/tables/block_03_e12_real_summary.csv
